Supplier,rows,missing_rate,dup_rate,neg_qty_rate,bad_rrp_rate,extreme_price_rate,score_completeness,score_uniqueness,score_validity,avg_rrp_std,score_consistency,data_health_score
ALISON PRODUCTS KENYA LTD,31,0.0,0.0645,0.0,0.0,0.0,1.0,0.935483870967742,1.0,7.110356922789058,0.9907065122254038,97.9251
ALMASI BOTTLERS LIMITED,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
AQUAMIST LIMITED,101,0.0,0.0594,0.0,0.0,0.0,1.0,0.9405940594059405,1.0,7.83336887362407,0.9871791067109836,98.0255
ARYUV AGENCIES LIMITED,170,0.0059,0.0706,0.0,0.0059,0.0,0.9941176470588236,0.9294117647058824,0.9941176470588236,20.81027541282517,0.9238678272312622,96.4168
ASHMAH GENERAL TRADING COMPANY LIMITED,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
ASSOCIATED BEVERAGES LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
BARAKA KENYA LIMITED,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.391370587674885,0.9015177397075549,98.5228
BEBALYSA ENTERPRISES LIMITED.,10,0.0,0.2,0.0,0.0,0.0,1.0,0.8,1.0,128.25660836883853,0.3996624016700975,84.9949
BEECARE APIARIES INTERNATIONAL LIMITED,94,0.0213,0.0426,0.0,0.0213,0.0,0.9787234042553191,0.9574468085106383,0.9787234042553191,27.676514325697305,0.890369060057884,95.9087
BEYOND OPINION BUSINESS SOLUTIONS LTD,28,0.0,0.0714,0.0,0.0,0.0,1.0,0.9285714285714286,1.0,38.43327911837095,0.8378893307765389,95.4255
BIDCO AFRICA LIMITED,1000,0.002,0.028,0.0,0.002,0.0,0.998,0.972,0.998,47.6862787201983,0.792746118713835,95.9412
BIO FOOD PRODUCTS LTD,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,72.30968391596396,0.6726143073778863,95.0892
BLOSSOM HEALTH ESSENTIALS LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
BLUE RING PRODUCTS LTD,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,59.07523603423011,0.7371820705862544,96.0577
BLUEMART PRODUCTS EAST AFRICA LTD,43,0.0,0.1395,0.0,0.0,0.0,1.0,0.8604651162790697,1.0,29.721666292508594,0.880391243899761,94.0198
BOOTS OF HENRY LTD,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.907678195181454,0.9673015083507943,99.5095
BOUNTY LIMITED,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.4643191257496815,0.9987371440780519,99.9811
BOWIP AGENCIES LIMITED,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
BRAVA FOOD INDUSTRIES LIMITED,102,0.0,0.0392,0.0,0.0,0.0,1.0,0.9607843137254902,1.0,6.157552422925635,0.9953550216215502,98.7539
BROOKSIDE DAIRY LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
BRUSH MANUFACTURERS LTD,51,0.0,0.0392,0.0,0.0,0.0,1.0,0.9607843137254902,1.0,13.202603654559875,0.9609838711376067,98.2383
BURTON & BAMBER COMPANY LTD,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32.51609191359462,0.8667578975434911,98.0014
C&R FOOD INDUSTRIES LTD,39,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.85811721544166,0.9821796002053916,99.7327
CANON CHEMICALS  LIMITED,137,0.0,0.0584,0.0,0.0,0.0,1.0,0.9416058394160584,1.0,43.302222087789445,0.8141349014619346,95.4602
CAPWELL INDUSTRIES LTD,77,0.0,0.026,0.0,0.0,0.0,1.0,0.974025974025974,1.0,10.02743871285645,0.9764747552255162,98.8679
CAPWELL INDUSTRIES LTD-BISCUIT,35,0.0,0.0571,0.0,0.0,0.0,1.0,0.9428571428571428,1.0,13.055411527396464,0.9617019869591168,97.7112
CARD GROUP EAST AFRICA LIMITED,14,0.0,0.1429,0.0,0.0,0.0,1.0,0.8571428571428572,1.0,72.03323011537786,0.6739630605479323,90.8237
CAROLINE'S CUPCAKES LIMITED,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,174.9382176655518,0.17191379272239615,87.5787
CEREAL BOX LIMITED,22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,132.67013761511944,0.3781298289603292,90.6719
CHANDARIA INDUSTRIES LIMITED,286,0.0,0.049,0.0,0.0,0.0,1.0,0.951048951048951,1.0,51.04783021439223,0.7763458984077489,95.1767
CHIRAG (AFRICA) LTD,119,0.0,0.0672,0.0,0.0,0.0,1.0,0.9327731092436975,1.0,21.20952544373034,0.921919980091224,96.812
CLOROX SUB-SAHARA AFRICA LIMITED,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31.071511049041998,0.8738056683331218,98.1071
COASTAL BOTTLERS LIMITED,172,0.0,0.0233,0.0,0.0,0.0,1.0,0.9767441860465116,1.0,17.430231817649126,0.9403582661553146,98.4077
COCA-COLA BEVERAGES KENYA LIMITED,1022,0.0,0.0431,0.0,0.0,0.0,1.0,0.9569471624266145,1.0,19.6044001978765,0.9297510092146306,97.6547
COLGATE PALMOLIVE (EA) LTD,163,0.0,0.0368,0.0,0.0,0.0,1.0,0.9631901840490797,1.0,59.20580216683866,0.7365450690876927,94.9439
CONFINI LIMITED,67,0.0,0.0299,0.0,0.0,0.0,1.0,0.9701492537313433,1.0,17.328863909436546,0.9408528163740231,98.2173
DEBENHAM &  FEAR LTD,277,0.0,0.0433,0.0,0.0,0.0,1.0,0.9566787003610109,1.0,81.21542499280099,0.6291652881076608,93.1378
DEEDS PRODUCTION LIMITED,33,0.0,0.0606,0.0,0.0,0.0,1.0,0.9393939393939394,1.0,16.88804046389705,0.9430034904408707,97.3269
DELISH & NUTRI LIMITED,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.36641962487506,0.9211545302267907,98.8173
DELMONTE KENYA LIMITED,399,0.0025,0.015,0.0,0.0025,0.0,0.9974937343358397,0.9849624060150376,0.9974937343358397,27.251540490227914,0.8924424075993564,97.7977
DELUXE FOOD INDUSTRIES LTD,375,0.0,0.0427,0.0,0.0,0.0,1.0,0.9573333333333334,1.0,30.54851155377172,0.8763572600482031,96.8654
DORIC INDUSTRIES LIMITED,31,0.0,0.129,0.0,0.0,0.0,1.0,0.8709677419354839,1.0,13.61832078462695,0.9589556848879272,95.5134
DORMANS COFFEE LTD,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,118.61716254404335,0.4466909941007873,61.7004
DOUBLE PERFECT CARE LTD,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,47.948910832259834,0.791464798316185,96.872
ELEX PRODUCTS LIMITED,14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26.769025384355057,0.8947964854860101,98.4219
EQUATOR BOTTLERS LIMITED,218,0.0,0.0459,0.0,0.0,0.0,1.0,0.9541284403669725,1.0,19.167254302482736,0.931883741377961,97.6021
ERIS INDUSTRIES,82,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.91975187628568,0.9330912475913669,98.9964
EUREKA NUTS LIMITED,52,0.0,0.0769,0.0,0.0,0.0,1.0,0.9230769230769231,1.0,28.19820339351819,0.8878238616105846,96.0097
EXCEL CHEMICALS LTD,615,0.0,0.052,0.0,0.0,0.0,1.0,0.9479674796747968,1.0,26.303285676536234,0.8970687201451292,96.8951
FACTORY SHELF KENYA LTD,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
FAYAZ BAKERS LTD,36,0.0,0.0556,0.0,0.0,0.0,1.0,0.9444444444444444,1.0,21.70739381331243,0.919490997236527,97.1257
FINSBURY TRADING LTD,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
